2010-07-21;23946
2010-07-22;24487
2010-07-23;24507
2010-07-26;24595
2010-07-27;24517
2010-07-28;24431
2010-07-29;24256
2010-07-30;24333
2010-08-02;24839
2010-08-03;25042
2010-08-04;25069
2010-08-05;25118
2010-08-06;24926
2010-08-09;25265
2010-08-10;25285
2010-08-11;24401
2010-08-12;24276
2010-08-13;24401
2010-08-16;24467
2010-08-17;24966
2010-08-18;25109
2010-08-19;24966
2010-08-20;24527
2010-08-23;24557
2010-08-24;24198
2010-08-25;24111
2010-08-26;24238
2010-08-27;24487
2010-08-30;24517
2010-08-31;24567
2010-09-01;25158
2010-09-02;25236
2010-09-03;25429
2010-09-07;25429
2010-09-08;25497
2010-09-09;25708
2010-09-10;25747
2010-09-13;26244
2010-09-14;26312
2010-09-15;26437
2010-09-16;26486
2010-09-17;26408
2010-09-20;26.96
2010-09-21;26903
2010-09-22;26737
2010-09-23;26846
2010-09-24;27076
2010-09-27;27301
2010-09-28;27.36
2010-09-29;27456
2010-09-30;27.35
2010-10-01;27436
2010-10-04;27194
2010-10-05;27776
2010-10-06;27698
2010-10-07;27523
2010-10-08;27649
2010-10-11;27756
2010-10-12;27883
2010-10-13;28268
2010-10-14;28078
2010-10-15;27893
2010-10-18;27912
2010-10-19;27.34
2010-10-20;27824
2010-10-21;28155
2010-10-22;28598
2010-10-25;28288
2010-10-26;28009
2010-10-27;27.99
2010-10-28;27893
2010-10-29;27.98
2010-11-01;28039
2010-11-02;28135
2010-11-03;28221
2010-11-04;28568
2010-11-05;28338
2010-11-08;28318
2010-11-09;28164
2010-11-10;28145
2010-11-11;28106
2010-11-12;27815
2010-11-15;27903
2010-11-17;27456
2010-11-18;27659
2010-11-22;28096
2010-11-23;27416
2010-11-24;27776
2010-11-26;27864
2010-11-29;27514
2010-11-30;27436
2010-12-01;27903
2010-12-02;28308
2010-12-03;28318
2010-12-06;28378
2010-12-07;28473
2010-12-08;28298
2010-12-09;28298
2010-12-10;28443
2010-12-13;28628
2010-12-14;28736
2010-12-15;28502
2010-12-16;28648
2010-12-17;28638
2010-12-20;28415
2010-12-21;28648
2010-12-22;28618
2010-12-23;28648
2010-12-27;28688
2010-12-28;28688
2010-12-29;28879
2010-12-30;28823
2010-12-31;28928
2011-01-03;29141
2011-01-04;29094
2011-01-05;28918
2011-01-06;28918
2011-01-07;28763
2011-01-10;28745
2011-01-11;28918
2011-01-13;28997
2011-01-14;29035
