2008-08-15;44886
2008-08-18;43875
2008-08-19;43283
2008-08-20;43892
2008-08-22;44071
2008-08-25;43248
2008-08-26;43.66
2008-08-27;44457
2008-08-28;44475
2008-08-29;44171
2008-09-02;43875
2008-09-03;42235
2008-09-04;41153
2008-09-05;41188
2008-09-08;42.29
2008-09-09;41.08
2008-09-11;39.8
2008-09-12;39.21
2008-09-15;37992
2008-09-16;37231
2008-09-17;36039
2008-09-18;38627
2008-09-19;41359
2008-09-22;40311
2008-09-23;38886
2008-09-24;38717
2008-09-25;40158
2008-09-26;38896
2008-09-29;35458
2008-09-30;37.07
2008-10-01;37909
2008-10-02;36444
2008-10-03;35968
2008-10-06;33148
2008-10-07;31966
2008-10-08;32029
2008-10-09;29171
2008-10-10;29146
2008-10-13;34026
2008-10-14;33514
2008-10-15;29646
2008-10-16;30103
2008-10-17;29673
2008-10-20;30891
2008-10-21;29253
2008-10-22;26774
2008-10-23;27041
2008-10-24;24758
2008-10-27;23648
2008-10-28;26774
2008-10-29;26189
2008-10-30;28563
2008-10-31;29449
2008-11-03;29576
2008-11-04;31329
2008-11-05;29457
2008-11-06;26174
2008-11-07;28627
2008-11-10;29163
2008-11-11;27418
2008-11-12;26414
2008-11-13;29055
2008-11-14;27264
2008-11-17;26808
2008-11-18;26225
2008-11-19;24177
2008-11-20;22726
2008-11-21;25519
2008-11-24;26378
2008-11-25;25859
2008-11-26;27399
2008-11-28;27336
2008-12-01;25241
2008-12-02;26459
2008-12-03;26861
2008-12-04;25948
2008-12-05;27264
2008-12-08;29083
2008-12-09;28563
2008-12-10;30148
2008-12-11;29576
2008-12-12;29826
2008-12-15;29457
2008-12-16;31187
2008-12-17;31205
2008-12-18;30837
2008-12-19;30945
2008-12-22;29665
2008-12-23;28705
2008-12-24;29567
2008-12-26;29386
2008-12-29;29485
2008-12-30;29728
2008-12-31;30023
2009-01-02;31473
2009-01-05;32037
2009-01-06;32315
2009-01-07;30703
2009-01-08;30.47
2009-01-09;29198
2009-01-12;28196
2009-01-13;28418
2009-01-14;27.73
2009-01-15;27462
2009-01-16;28035
2009-01-20;26423
2009-01-21;27085
2009-01-22;26351
2009-01-23;27006
2009-01-26;26889
2009-01-27;27706
2009-01-28;29073
2009-01-29;27981
2009-01-30;27569
2009-02-02;27202
2009-02-03;27667
2009-02-04;27999
2009-02-05;28.5
2009-02-06;29808
2009-02-09;29404
2009-02-10;27828
2009-02-11;28161
2009-02-12;27953
2009-02-13;28295
2009-02-17;26183
2009-02-18;26441
2009-02-19;26333
2009-02-20;25976
2009-02-23;25625
2009-02-24;26728
2009-02-25;26137
2009-02-26;25806
2009-02-27;25527
2009-03-02;23906
2009-03-03;24337
2009-03-04;25976
2009-03-05;24954
2009-03-06;25017
2009-03-09;24.75
2009-03-10;26496
2009-03-11;26351
2009-03-12;27579
2009-03-13;27667
2009-03-16;27953
2009-03-17;28357
2009-03-18;28877
2009-03-19;28518
2009-03-20;27884
2009-03-23;30622
2009-03-24;30033
2009-03-25;30148
2009-03-26;31508
2009-03-27;30693
2009-03-30;28975
2009-03-31;29636
2009-04-01;30667
2009-04-02;32396
2009-04-03;32575
2009-04-06;32486
2009-04-07;31697
2009-04-08;31912
2009-04-09;32986
2009-04-13;33202
2009-04-14;33202
2009-04-15;33648
2009-04-16;33828
2009-04-17;33675
2009-04-20;32519
2009-04-21;33327
2009-04-22;32691
2009-04-23;33256
2009-04-24;33675
2009-04-27;32449
2009-04-28;32296
2009-04-29;34124
2009-04-30;34777
2009-05-01;35055
2009-05-04;37992
2009-05-05;37284
2009-05-06;38063
2009-05-07;37015
2009-05-08;38384
2009-05-11;37.08
2009-05-12;37.24
2009-05-13;36236
2009-05-14;36.63
2009-05-15;36.55
2009-05-18;38833
2009-05-19;38924
2009-05-20;38.78
2009-05-21;38126
2009-05-22;38252
2009-05-26;38824
2009-05-27;38546
2009-05-28;39549
2009-05-29;40337
2009-06-01;41958
2009-06-02;40741
2009-06-03;40311
2009-06-04;40741
2009-06-05;40962
2009-06-08;40204
2009-06-09;40311
2009-06-10;40947
2009-06-11;41617
2009-06-12;41.09
2009-06-15;39361
2009-06-16;38.78
2009-06-17;38662
2009-06-18;38546
2009-06-19;38824
2009-06-22;37965
2009-06-23;37686
2009-06-24;38725
2009-06-25;39639
2009-06-26;39631
2009-06-29;40212
2009-06-30;39201
2009-07-01;40265
2009-07-02;39.11
2009-07-06;39477
2009-07-07;38305
2009-07-08;38011
2009-07-09;39.04
2009-07-10;39049
2009-07-13;38932
2009-07-14;39389
2009-07-15;41206
2009-07-16;41296
2009-07-17;41691
2009-07-20;45801
2009-07-21;42898
2009-07-22;42817
2009-07-23;44106
2009-07-24;43902
2009-07-27;44259
2009-07-28;44412
